Record Length,2500,Points,response time,response voltage,,Record Length,2500,Points,signal time,signal voltage,
,,,-20.99999801E-6,-1.6000000E-3,,,,,-20.99999801E-6,199.99998808E-3,
,,,-20.89999725E-6,-1.6000000E-3,,,,,-20.89999725E-6,199.99998808E-3,
,,,-20.79999831E-6,-1.6000000E-3,,,,,-20.79999831E-6,199.99998808E-3,
,,,-20.69999755E-6,-1.6000000E-3,,,,,-20.69999755E-6,199.99998808E-3,
,,,-20.59999861E-6,-1.6000000E-3,,,,,-20.59999861E-6,199.99998808E-3,
,,,-20.49999785E-6,-1.6000000E-3,,,,,-20.49999785E-6,199.99998808E-3,
,,,-20.39999890E-6,-1.6000000E-3,,,,,-20.39999890E-6,159.99999642E-3,
,,,-20.29999814E-6,-1.6000000E-3,,,,,-20.29999814E-6,199.99998808E-3,
,,,-20.19999738E-6,-1.6000000E-3,,,,,-20.19999738E-6,199.99998808E-3,
,,,-20.09999844E-6,-1.6000000E-3,,,,,-20.09999844E-6,159.99999642E-3,
,,,-19.9999977E-6,-1.6000000E-3,,,,,-19.9999977E-6,199.99998808E-3,
,,,-19.8999987E-6,-799.999979790E-6,,,,,-19.8999987E-6,199.99998808E-3,
,,,-19.7999980E-6,-799.999979790E-6,,,,,-19.7999980E-6,199.99998808E-3,
,,,-19.6999972E-6,-1.6000000E-3,,,,,-19.6999972E-6,199.99998808E-3,
,,,-19.5999983E-6,-1.6000000E-3,,,,,-19.5999983E-6,159.99999642E-3,
,,,-19.4999975E-6,-1.6000000E-3,,,,,-19.4999975E-6,199.99998808E-3,
,,,-19.3999986E-6,-1.6000000E-3,,,,,-19.3999986E-6,199.99998808E-3,
,,,-19.2999978E-6,-1.6000000E-3,,,,,-19.2999978E-6,199.99998808E-3,
,,,-19.1999989E-6,-1.6000000E-3,,,,,-19.1999989E-6,199.99998808E-3,
,,,-19.0999981E-6,-1.6000000E-3,,,,,-19.0999981E-6,199.99998808E-3,
,,,-18.9999973E-6,-1.6000000E-3,,,,,-18.9999973E-6,199.99998808E-3,
,,,-18.8999984E-6,-1.6000000E-3,,,,,-18.8999984E-6,199.99998808E-3,
,,,-18.7999976E-6,-1.6000000E-3,,,,,-18.7999976E-6,199.99998808E-3,
,,,-18.6999987E-6,-1.6000000E-3,,,,,-18.6999987E-6,199.99998808E-3,
,,,-18.5999979E-6,-1.6000000E-3,,,,,-18.5999979E-6,199.99998808E-3,
,,,-18.4999990E-6,-1.6000000E-3,,,,,-18.4999990E-6,199.99998808E-3,
,,,-18.3999982E-6,-1.6000000E-3,,,,,-18.3999982E-6,199.99998808E-3,
,,,-18.2999975E-6,-1.6000000E-3,,,,,-18.2999975E-6,199.99998808E-3,
,,,-18.1999985E-6,-1.6000000E-3,,,,,-18.1999985E-6,199.99998808E-3,
