,,,91.999993401E-9,-1.6000000E-3,,,,,91.999993401E-9,4.36000013,
,,,95.999993732E-9,-1.6000000E-3,,,,,95.999993732E-9,4.40000010,
,,,99.999994063E-9,0.0,,,,,99.999994063E-9,4.44000006,
,,,103.9999944E-9,-2.3999999E-3,,,,,103.9999944E-9,4.51999998,
,,,107.9999947E-9,-2.3999999E-3,,,,,107.9999947E-9,4.55999994,
,,,111.9999951E-9,-1.6000000E-3,,,,,111.9999951E-9,4.59999990,
,,,115.9999954E-9,-1.6000000E-3,,,,,115.9999954E-9,4.63999987,
,,,119.9999957E-9,799.999979790E-6,,,,,119.9999957E-9,4.67999983,
,,,123.9999960E-9,-2.3999999E-3,,,,,123.9999960E-9,4.71999979,
,,,127.9999964E-9,-2.3999999E-3,,,,,127.9999964E-9,4.75999975,
,,,131.9999967E-9,-2.3999999E-3,,,,,131.9999967E-9,4.75999975,
,,,135.9999970E-9,-1.6000000E-3,,,,,135.9999970E-9,4.79999971,
,,,139.9999974E-9,799.999979790E-6,,,,,139.9999974E-9,4.79999971,
,,,143.9999977E-9,-1.6000000E-3,,,,,143.9999977E-9,4.83999968,
,,,147.9999980E-9,-2.3999999E-3,,,,,147.9999980E-9,4.83999968,
,,,151.99999837E-9,-2.3999999E-3,,,,,151.99999837E-9,4.88000011,
,,,155.99999870E-9,-799.999979790E-6,,,,,155.99999870E-9,4.88000011,
,,,159.99998482E-9,0.0,,,,,159.99998482E-9,4.92000008,
,,,163.99998515E-9,-799.999979790E-6,,,,,163.99998515E-9,4.92000008,
,,,167.99998548E-9,-2.3999999E-3,,,,,167.99998548E-9,4.92000008,
,,,171.99998581E-9,-799.999979790E-6,,,,,171.99998581E-9,4.92000008,
,,,175.99998614E-9,1.6000000E-3,,,,,175.99998614E-9,4.96000004,
,,,179.99998647E-9,4.79999976E-3,,,,,179.99998647E-9,4.96000004,
,,,183.99998680E-9,1.6000000E-3,,,,,183.99998680E-9,4.96000004,
,,,187.99998713E-9,3.99999972E-3,,,,,187.99998713E-9,4.96000004,
,,,191.99998746E-9,8.799999952E-3,,,,,191.99998746E-9,5.00000000,
,,,195.99998780E-9,12.0000001E-3,,,,,195.99998780E-9,5.00000000,
,,,199.99998813E-9,15.1999993E-3,,,,,199.99998813E-9,5.00000000,
,,,203.99998846E-9,12.0000001E-3,,,,,203.99998846E-9,5.00000000,
,,,207.99998879E-9,16.7999994E-3,,,,,207.99998879E-9,5.00000000,
,,,211.99998912E-9,20.80000006E-3,,,,,211.99998912E-9,5.03999996,
,,,215.99998945E-9,23.19999970E-3,,,,,215.99998945E-9,5.00000000,
,,,219.99998978E-9,24.79999885E-3,,,,,219.99998978E-9,5.03999996,
,,,223.99999011E-9,23.19999970E-3,,,,,223.99999011E-9,5.03999996,
,,,227.99999044E-9,28.79999951E-3,,,,,227.99999044E-9,5.03999996,
,,,231.99999077E-9,32.80000016E-3,,,,,231.99999077E-9,5.03999996,
,,,235.99999111E-9,33.59999880E-3,,,,,235.99999111E-9,5.03999996,
,,,239.99999144E-9,34.39999744E-3,,,,,239.99999144E-9,5.03999996,
